ts_code,name
605399.SH,晨光新材
603987.SH,康德莱
600795.SH,国电电力
600246.SH,万通发展
600395.SH,盘江股份
000978.SZ,桂林旅游
603998.SH,方盛制药
600015.SH,华夏银行
002030.SZ,达安基因
002836.SZ,新宏泽
002631.SZ,德尔未来
600386.SH,北巴传媒
600908.SH,无锡银行
600433.SH,冠豪高新
002459.SZ,晶澳科技
000541.SZ,佛山照明
600496.SH,精工钢构
603222.SH,济民健康
688690.SH,纳微科技
600900.SH,长江电力
603233.SH,大参林
600605.SH,汇通能源
688593.SH,新相微
000554.SZ,泰山石油
002686.SZ,亿利达
002713.SZ,*ST东易
002497.SZ,雅化集团
688166.SH,博瑞医药
688191.SH,智洋创新
688691.SH,灿芯股份
688627.SH,精智达
002092.SZ,中泰化学
002688.SZ,金河生物
603128.SH,华贸物流
600335.SH,国机汽车
600038.SH,中直股份
002092.SZ,中泰化学
002688.SZ,金河生物
603257.SH,中国瑞林
688071.SH,华依科技
002567.SZ,唐人神
002736.SZ,国信证券
601702.SH,华峰铝业
001400.SZ,江顺科技
601966.SH,玲珑轮胎
600846.SH,同济科技
600438.SH,通威股份
002225.SZ,濮耐股份
000921.SZ,海信家电
605077.SH,华康股份
600327.SH,大东方
603565.SH,中谷物流
601916.SH,浙商银行
600971.SH,恒源煤电
688778.SH,厦钨新能
002438.SZ,江苏神通
600187.SH,国中水务
600535.SH,天士力
601601.SH,中国太保
600505.SH,西昌电力
002019.SZ,亿帆医药
002920.SZ,德赛西威
000623.SZ,吉林敖东
002141.SZ,*ST贤丰
002561.SZ,徐家汇
600348.SH,华阳股份
002132.SZ,恒星科技
002510.SZ,天汽模
000001.SZ,平安银行
688690.SH,纳微科技
002529.SZ,*ST海源
600525.SH,ST长园
600678.SH,四川金顶
600630.SH,龙头股份
600127.SH,金健米业
002918.SZ,蒙娜丽莎
601928.SH,凤凰传媒
603137.SH,恒尚节能
603169.SH,兰石重装
002187.SZ,广百股份
002254.SZ,泰和新材
002788.SZ,鹭燕医药
000516.SZ,国际医学
000995.SZ,皇台酒业
600231.SH,凌钢股份
688223.SH,晶科能源
688084.SH,晶品特装
002594.SZ,比亚迪
600119.SH,长江投资
002756.SZ,永兴材料
601636.SH,旗滨集团
002783.SZ,凯龙股份
002763.SZ,汇洁股份
688510.SH,航亚科技
601969.SH,海南矿业
688798.SH,艾为电子
600161.SH,天坛生物
688569.SH,铁科轨道
600916.SH,中国黄金
002850.SZ,科达利
001391.SZ,国货航
688505.SH,复旦张江
003037.SZ,三和管桩
600056.SH,中国医药
600269.SH,赣粤高速
000738.SZ,航发控制
688350.SH,富淼科技
688113.SH,XD联测科
002084.SZ,海鸥住工
603716.SH,塞力医疗
601658.SH,邮储银行
688646.SH,ST逸飞
002110.SZ,三钢闽光
600051.SH,宁波联合
600332.SH,白云山
601101.SH,昊华能源
002625.SZ,光启技术
600550.SH,保变电气
603693.SH,江苏新能
688126.SH,沪硅产业
688351.SH,微电生理
601988.SH,中国银行
600623.SH,华谊集团
605566.SH,福莱蒽特
603993.SH,洛阳钼业
600893.SH,航发动力
688080.SH,映翰通
600425.SH,青松建化
603601.SH,再升科技
688363.SH,华熙生物
600770.SH,综艺股份
688106.SH,金宏气体
601727.SH,上海电气
600827.SH,百联股份
601089.SH,福元医药
600737.SH,中粮糖业
601727.SH,上海电气
600827.SH,百联股份
601089.SH,福元医药
600737.SH,中粮糖业
002564.SZ,天沃科技
600628.SH,新世界
002818.SZ,富森美
603706.SH,东方环宇
688303.SH,大全能源
688105.SH,XD诺唯赞
003043.SZ,华亚智能
000417.SZ,合百集团
002235.SZ,安妮股份
688556.SH,高测股份
000768.SZ,中航西飞
603880.SH,南卫股份
600997.SH,开滦股份
603212.SH,赛伍技术
603259.SH,药明康德
600202.SH,哈空调
000915.SZ,华特达因
600028.SH,中国石化
600500.SH,中化国际
688772.SH,珠海冠宇
002709.SZ,天赐材料
000777.SZ,中核科技
600866.SH,星湖科技
600790.SH,轻纺城
601838.SH,成都银行
603458.SH,勘设股份
603218.SH,日月股份
603275.SH,众辰科技
002154.SZ,报 喜 鸟
600222.SH,太龙药业
000880.SZ,潍柴重机
002462.SZ,嘉事堂
600422.SH,昆药集团
603725.SH,天安新材
600025.SH,华能水电
688293.SH,奥浦迈
600867.SH,通化东宝
601811.SH,新华文轩
600361.SH,创新新材
600518.SH,康美药业
001283.SZ,豪鹏科技
600054.SH,黄山旅游
601166.SH,兴业银行
603213.SH,镇洋发展
688221.SH,前沿生物-U
002737.SZ,葵花药业
000488.SZ,ST晨鸣
603027.SH,千禾味业
600272.SH,开开实业
600989.SH,宝丰能源
603336.SH,宏辉果蔬
000581.SZ,威孚高科
600720.SH,中交设计
600956.SH,新天绿能
002617.SZ,露笑科技
601113.SH,华鼎股份
002068.SZ,黑猫股份
600590.SH,泰豪科技
601818.SH,光大银行
603995.SH,XD甬金股
603117.SH,万林物流
603058.SH,永吉股份
002385.SZ,大北农
002318.SZ,久立特材
600746.SH,江苏索普
002111.SZ,威海广泰
688289.SH,圣湘生物
002022.SZ,科华生物
688710.SH,益诺思
000058.SZ,深 赛 格
688321.SH,微芯生物
002634.SZ,棒杰股份
002180.SZ,纳思达
688127.SH,蓝特光学
600521.SH,华海药业
600784.SH,鲁银投资
688275.SH,万润新能
603043.SH,广州酒家
688083.SH,中望软件
000882.SZ,华联股份
603331.SH,百达精工
601236.SH,红塔证券
000679.SZ,大连友谊
600755.SH,厦门国贸
002889.SZ,东方嘉盛
600354.SH,敦煌种业
002074.SZ,国轩高科
603699.SH,纽威股份
605488.SH,福莱新材
000850.SZ,华茂股份
601096.SH,宏盛华源
002661.SZ,克明食品
